_ckd7g,source,testsconductedbyprivatelabs,totalindividualstested,totalpositivecases,totalsamplestested,updatetimestamp
600,Press_Release_ICMR_13March2020.pdf,nan,5900,78,6500,13/3/2020 00:00
890,ICMR_website_update_18March_6PM_IST.pdf,nan,12235,150,13125,18/3/2020 18:00
890,ICMR_website_update_19March_10AM_IST_V2.pdf,nan,12426,168,13316,19/3/2020 10:00
890,ICMR_website_update_19March_6PM_IST.pdf,nan,13285,182,14175,19/3/2020 18:00
890,ICMR_website_update_20March_10AM_IST.pdf,nan,13486,206,14376,20/3/2020 10:00
890,ICMR_website_update_20March_6PM_IST.pdf,nan,14514,236,15404,20/3/2020 18:00
890,ICMR_website_update_21March_10AM_IST.pdf,nan,14811,271,15701,21/3/2020 10:00
890,ICMR_website_update_21March_6PM_IST.pdf,nan,16021,315,16911,21/3/2020 18:00
890,ICMR_website_update_22March_10AM_IST.pdf,nan,16109,341,16999,22/3/2020 10:00
890,ICMR_website_update_22March_6PM_IST.pdf,nan,17237,396,18127,22/3/2020 18:00
890,ICMR_website_update_23March_10AM_IST.pdf,nan,17493,415,18383,23/3/2020 10:00
890,ICMR_website_update_23March_8PM_IST.pdf,nan,19817,471,20707,23/3/2020 20:00
890,ICMR_website_update_24March_10AM_IST.pdf,nan,19974,482,20864,24/3/2020 10:00
890,ICMR_website_update_24March_8PM_IST.pdf,nan,21804,536,22694,24/3/2020 20:00
890,ICMR_website_update_25March_10AM_IST.pdf,nan,22038,539,22928,25/3/2020 10:00
890,ICMR_website_update_25March_8PM_IST.pdf,nan,24254,581,25144,25/3/2020 20:00
0,nan,nan,nan,nan,nan,26/3/2020 10:00
0,nan,nan,nan,nan,nan,26/3/2020 18:00
890,ICMR_website_update_27March_9AM_IST.pdf,nan,26798,691,27688,27/3/2020 09:00
nan,MoH Press conference with Dr. Raman G,1334,nan,nan,38442,30/3/2020
nan,MoH Press conference with Dr. Raman G,1733,nan,nan,42788,31/3/2020
nan,https://twitter.com/PTI_News/status/1245308976440340482,4562,nan,1637,47951,1/4/2020
nan,ICMR_testing_update_02April_9PM_IST.pdf,nan,nan,2056,55851,2/4/2020 21:00
nan,ICMR_testing_update_03April_9AM_IST.pdf,nan,nan,2183,56680,3/4/2020 09:00
nan,ICMR_testing_update_03April_9PM_IST.pdf,nan,nan,2653,69245,3/4/2020 21:00
nan,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_04April_9PM_IST.pdf,nan,nan,3113,79950,4/4/2020 21:00
nan,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf,nan,nan,3554,89534,5/4/2020 21:00
nan,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf,nan,nan,4135,101068,6/4/2020 21:00
